ID,Team Name,Country
1,Arsenal,England
2,Aston Villa,England
3,Bournemouth,England
4,Brentford,England
5,Brighton & Hove Albion,England
6,Chelsea,England
7,Crystal Palace,England
8,Everton,England
9,Fulham,England
10,Ipswich Town,England
11,Leicester City,England
12,Liverpool,England
13,Manchester City,England
14,Manchester United,England
15,Newcastle United,England
16,Nottingham Forest,England
17,Sheffield United,England
18,Tottenham Hotspur,England
19,West Ham United,England
20,Wolverhampton Wanderers,England
21,Almería,Spain
22,Athletic Bilbao,Spain
23,Atlético Madrid,Spain
24,Barcelona,Spain
25,Betis,Spain
26,Cádiz,Spain
27,Celta Vigo,Spain
28,Girona,Spain
29,Getafe,Spain
30,Las Palmas,Spain
31,Mallorca,Spain
32,Osasuna,Spain
33,Real Madrid,Spain
34,Real Sociedad,Spain
35,Rayo Vallecano,Spain
36,Sevilla,Spain
37,Valencia,Spain
38,Villarreal,Spain
39,Real Valladolid,Spain
40,Granada,Spain
41,Atalanta,Italy
42,Bologna,Italy
43,Cagliari,Italy
44,Empoli,Italy
45,Fiorentina,Italy
46,Genoa,Italy
47,Inter Milan,Italy
48,Juventus,Italy
49,Lazio,Italy
50,Lecce,Italy
51,Milan,Italy
52,Monza,Italy
53,Napoli,Italy
54,Roma,Italy
55,Salernitana,Italy
56,Sampdoria,Italy
57,Spezia,Italy
58,Torino,Italy
59,Verona,Italy
60,Udinese,Italy
61,Augsburg,Germany
62,Bayer Leverkusen,Germany
63,Bayern Munich,Germany
64,Bochum,Germany
65,Darmstadt,Germany
66,Dortmund,Germany
67,Eintracht Frankfurt,Germany
68,Freiburg,Germany
69,Hertha BSC,Germany
70,Hoffenheim,Germany
71,Koln,Germany
72,Mainz,Germany
73,RB Leipzig,Germany
74,Stuttgart,Germany
75,Union Berlin,Germany
76,Wolfsburg,Germany
77,Schalke 04,Germany
78,Werder Bremen,Germany
79,VfB Stuttgart,Germany
80,Bayer Leverkusen,Germany
81,Ajaccio,France
82,Angers,France
83,AS Monaco,France
84,Brest,France
85,Clermont,France
86,Lens,France
87,Lille,France
88,Lyon,France
89,Montpellier,France
90,Nantes,France
91,Nice,France
92,Paris Saint-Germain,France
93,Rennes,France
94,Strasbourg,France
95,Toulouse,France
96,Lorient,France
97,Metz,France
98,Marseille,France
99,Reims,France
100,Lille,France
101,Arouca,Portugal
102,Boavista,Portugal
103,Casa Pia,Portugal
104,Chaves,Portugal
105,Estoril Praia,Portugal
106,Futebol Clube de Famalicão,Portugal
107,Maritimo,Portugal
108,Moreirense,Portugal
109,Paços de Ferreira,Portugal
110,Portimonense,Portugal
111,Rio Ave,Portugal
112,Santa Clara,Portugal
113,Sporting CP,Portugal
114,FC Porto,Portugal
115,SL Benfica,Portugal
116,Vizela,Portugal
117,Vitória SC,Portugal
118,Gil Vicente,Portugal
119,Boavista,Portugal
120,Braga,Portugal
