id,team,country,season
1,Arsenal,England,2024/2025
2,Aston Villa,England,2024/2025
3,Bournemouth,England,2024/2025
4,Brentford,England,2024/2025
5,Brighton & Hove Albion,England,2024/2025
6,Chelsea,England,2024/2025
7,Crystal Palace,England,2024/2025
8,Everton,England,2024/2025
9,Fulham,England,2024/2025
10,Ipswich Town,England,2024/2025
11,Leicester City,England,2024/2025
12,Liverpool,England,2024/2025
13,Manchester City,England,2024/2025
14,Manchester United,England,2024/2025
15,Newcastle United,England,2024/2025
16,Nottingham Forest,England,2024/2025
17,Sheffield United,England,2024/2025
18,Tottenham Hotspur,England,2024/2025
19,West Ham United,England,2024/2025
20,Wolverhampton Wanderers,England,2024/2025
21,Alaves,Spain,2024/2025
22,Athletic Bilbao,Spain,2024/2025
23,Atlético Madrid,Spain,2024/2025
24,Barcelona,Spain,2024/2025
25,Betis,Spain,2024/2025
26,Espanhol,Spain,2024/2025
27,Celta Vigo,Spain,2024/2025
28,Girona,Spain,2024/2025
29,Getafe,Spain,2024/2025
30,Las Palmas,Spain,2024/2025
31,Mallorca,Spain,2024/2025
32,Osasuna,Spain,2024/2025
33,Real Madrid,Spain,2024/2025
34,Real Sociedad,Spain,2024/2025
35,Rayo Vallecano,Spain,2024/2025
36,Sevilla,Spain,2024/2025
37,Valencia,Spain,2024/2025
38,Villarreal,Spain,2024/2025
39,Real Valladolid,Spain,2024/2025
40,Leganes,Spain,2024/2025
41,Atalanta,Italy,2024/2025
42,Bologna,Italy,2024/2025
43,Cagliari,Italy,2024/2025
44,Empoli,Italy,2024/2025
45,Fiorentina,Italy,2024/2025
46,Genoa,Italy,2024/2025
47,Inter Milan,Italy,2024/2025
48,Juventus,Italy,2024/2025
49,Lazio,Italy,2024/2025
50,Lecce,Italy,2024/2025
51,Milan,Italy,2024/2025
52,Monza,Italy,2024/2025
53,Napoli,Italy,2024/2025
54,Roma,Italy,2024/2025
55,Como,Italy,2024/2025
56,Venezia,Italy,2024/2025
57,Verona,Italy,2024/2025
58,Torino,Italy,2024/2025
59,Parma,Italy,2024/2025
60,Udinese,Italy,2024/2025
61,Augsburg,Germany,2024/2025
62,Bayer Leverkusen,Germany,2024/2025
63,Bayern Munich,Germany,2024/2025
64,Bochum,Germany,2024/2025
65,Kiel,Germany,2024/2025
66,Dortmund,Germany,2024/2025
67,Eintracht Frankfurt,Germany,2024/2025
68,Freiburg,Germany,2024/2025
69,Heidenheim,Germany,2024/2025
70,Hoffenheim,Germany,2024/2025
71,St. Pauli,Germany,2024/2025
72,Mainz,Germany,2024/2025
73,RB Leipzig,Germany,2024/2025
74,Stuttgart,Germany,2024/2025
75,Union Berlin,Germany,2024/2025
76,Wolfsburg,Germany,2024/2025
77,Schalke 04,Germany,2024/2025
78,Werder Bremen,Germany,2024/2025
79,VfB Stuttgart,Germany,2024/2025
80,Bayer Leverkusen,Germany,2024/2025
81,Auxerre,France,2024/2025
82,Angers,France,2024/2025
83,AS Monaco,France,2024/2025
84,Brest,France,2024/2025
85,Le Havre,France,2024/2025
86,Lens,France,2024/2025
87,Lille,France,2024/2025
88,Lyon,France,2024/2025
89,Montpellier,France,2024/2025
90,Nantes,France,2024/2025
91,Nice,France,2024/2025
92,Paris Saint-Germain,France,2024/2025
93,Rennes,France,2024/2025
94,Strasbourg,France,2024/2025
95,Toulouse,France,2024/2025
98,Marseille,France,2024/2025
99,Reims,France,2024/2025
101,Arouca,Portugal,2024/2025
102,Boavista,Portugal,2024/2025
103,Casa Pia,Portugal,2024/2025
104,Chaves,Portugal,2024/2025
105,Estoril Praia,Portugal,2024/2025
106,Futebol Clube de Famalicão,Portugal,2024/2025
108,Moreirense,Portugal,2024/2025
109,Farense,Portugal,2024/2025
110,Nacional,Portugal,2024/2025
111,Rio Ave,Portugal,2024/2025
112,Santa Clara,Portugal,2024/2025
113,Sporting CP,Portugal,2024/2025
114,FC Porto,Portugal,2024/2025
115,SL Benfica,Portugal,2024/2025
117,Vitória SC,Portugal,2024/2025
118,Gil Vicente,Portugal,2024/2025
119,Boavista,Portugal,2024/2025
120,Braga,Portugal,2024/2025
